X99.7,Not known
L09.1,Creation of anastomosis to pulmonary artery from vena cava
L13.3,Arteriography of pulmonary artery
L19.2,Replacement of aneurysmal segment of thoracic aorta by anastomosis of aorta to aorta NEC
L19.3,Replacement of aneurysmal segment of suprarenal abdominal aorta by anastomosis of aorta to aorta NEC
L19.6,Replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to iliac artery NEC
L19.8,Other specified other replacement of aneurysmal segment of aorta
L20.8,Other specified other emergency bypass of segment of aorta
L20.9,Unspecified other emergency bypass of segment of aorta
L23.1,Plastic repair of aorta and end to end anastomosis of aorta
L23.3,Plastic repair of aorta using patch graft
L23.4,Release of vascular ring of aorta
L23.8,Other specified plastic repair of aorta
L23.9,Unspecified plastic repair of aorta
L26.1,Percutaneous transluminal balloon angioplasty of aorta
L26.3,Percutaneous transluminal embolectomy of bifurcation of aorta
L26.4,Aortography
L27.1,Endovascular insertion of stent graft for infrarenal abdominal aortic aneurysm
L28.9,Unspecified transluminal operations on aneurysmal segment of aorta
L30.9,Unspecified other open operations on carotid artery
L31.2,Arteriography of carotid artery
L31.4,Percutaneous transluminal insertion of stent into carotid artery
L33.1,Excision of aneurysm of cerebral artery
L34.1,Reconstruction of cerebral artery
L35.1,Percutaneous transluminal embolisation of cerebral artery
L35.2,Arteriography of cerebral artery
L39.1,Percutaneous transluminal angioplasty of subclavian artery
L39.4,Arteriography of subclavian artery
L43.3,Percutaneous transluminal embolisation of renal artery
L43.4,Arteriography of renal artery
L43.9,Unspecified transluminal operations on renal artery
L47.3,Arteriography of visceral branch of abdominal aorta NEC
L49.3,Replacement of aneurysmal artery of leg by anastomosis of aorta to common femoral artery NEC
L50.6,Emergency bypass of artery of leg by anastomosis of iliac artery to femoral artery NEC
L50.9,Unspecified other emergency bypass of iliac artery
L52.2,Endarterectomy of iliac artery NEC
L53.2,Open embolectomy of iliac artery
L54.1,Percutaneous transluminal angioplasty of iliac artery
L54.3,Arteriography of iliac artery
L54.4,Percutaneous transluminal insertion of stent into iliac artery
L57.5,Replacement of aneurysmal femoral artery by anastomosis of femoral artery to tibial artery using vein graft NEC
L59.3,Bypass of femoral artery by anastomosis of femoral artery to popliteal artery using vein graft NEC
L59.5,Bypass of femoral artery by anastomosis of femoral artery to tibial artery using vein graft NEC
L60.3,Profundoplasty of femoral artery and patch repair of deep femoral artery
L62.2,Open embolectomy of femoral artery
L63.1,Percutaneous transluminal angioplasty of femoral artery
L63.4,Arteriography of femoral artery
L63.5,Percutaneous transluminal insertion of stent into femoral artery
L63.9,Unspecified transluminal operations on femoral artery
L65.9,Unspecified revision of reconstruction of artery
L66.5,Percutaneous transluminal balloon angioplasty of artery
L67.1,Biopsy of artery NEC
L68.8,Other specified repair of other artery
L70.3,Ligation of artery NEC
L71.1,Percutaneous transluminal angioplasty of artery
L71.3,Percutaneous transluminal embolisation of artery
L71.4,Percutaneous transluminal cannulation of artery
L71.7,Percutaneous transluminal atherectomy
L72.1,Arteriography NEC
L72.2,Monitoring of arterial pressure
L72.6,Intravascular ultrasound of artery NEC
L72.8,Other specified diagnostic transluminal operations on other artery
L72.9,Unspecified diagnostic transluminal operations on other artery
L75.3,Embolisation of arteriovenous abnormality NEC
L75.9,Unspecified other arteriovenous operations
L79.1,Insertion of filter into vena cava
L79.3,Stenting of vena cava NEC
L79.5,Removal of filter in vena cava
L80.9,Unspecified operations on individual pulmonary veins
L81.2,Bypass operations for priapism
L81.9,Unspecified other bypass operations on vein
L84.1,Combined operations on primary long saphenous vein
L84.2,Combined operations on primary short saphenous vein
L84.3,Combined operations on primary long and short saphenous vein
L85.1,Ligation of long saphenous vein
L85.3,Ligation of recurrent varicose vein of leg
L86.1,Injection of sclerosing substance into varicose vein of leg NEC
L86.2,Ultrasound guided foam sclerotherapy for varicose vein of leg
L86.8,Other specified injection into varicose vein of leg
L86.9,Unspecified injection into varicose vein of leg
L87.1,Stripping of long saphenous vein
L87.4,Avulsion of varicose vein of leg
L87.5,Local excision of varicose vein of leg
L87.8,Other specified other operations on varicose vein of leg
L88.1,Percutaneous transluminal laser ablation of long saphenous vein
L88.2,Radiofrequency ablation of varicose vein of leg
L88.3,Percutaneous transluminal laser ablation of varicose vein of leg NEC
L88.8,Other specified transluminal operations on varicose vein of leg
L90.2,Open thrombectomy of vein of lower limb
L91.1,Open insertion of central venous catheter
L91.2,Insertion of central venous catheter NEC
L91.3,Attention to central venous catheter NEC
L91.4,Removal of central venous catheter
L91.5,Insertion of tunnelled catheter
L91.6,Cannulation of vein NEC
L91.8,Other specified other vein related operations
L91.9,Unspecified other vein related operations
L92.2,Wire brushing of access catheter
L92.3,Thrombolysis of access catheter
L92.8,Other specified unblocking of access catheter
L92.9,Unspecified unblocking of access catheter
L93.1,Excision of vein NEC
L93.2,Incision of vein NEC
L93.3,Ligation of vein NEC
L93.4,Open cannulation of vein
L93.9,Unspecified other open operations on vein
L94.1,Percutaneous transluminal embolisation of vein
L94.2,Percutaneous transluminal cannulation of vein
L94.3,Percutaneous transluminal insertion of subcutaneous port
L94.4,Percutaneous transluminal replacement of subcutaneous port
L94.5,Percutaneous transluminal insertion of stent into vein NEC
L94.6,Percutaneous transluminal venoplasty
L94.8,Other specified therapeutic transluminal operations on vein
L95.1,Venography
L95.2,Monitoring of venous pressure NEC
L95.8,Other specified diagnostic transluminal operations on vein
L95.9,Unspecified diagnostic transluminal operations on vein
L96.1,Percutaneous mechanical thromboembolectomy
L96.2,Percutaneous aspiration thromboembolectomy
L96.9,Unspecified percutaneous removal of thrombus from vein
L97.3,Isolated limb perfusion
L97.4,Operations on artery NEC
L97.5,Operations on vein NEC
L97.7,Thrombin injection for pseudoaneurysm
L97.8,Other specified other operations on blood vessel
L97.9,Unspecified other operations on blood vessel
L98.2,Microvascular lymphatic vessel anastomosis
L98.5,Revision of microvascular vessel anastomosis
L98.6,Placement of doppler ultrasound probe into microvascular vessel anastomosis
L98.8,Other specified operations on microvascular vessel
L98.9,Unspecified operations on microvascular vessel
L99.1,Percutaneous transluminal angioplasty of vein NEC
L99.3,Percutaneous transluminal venous thrombolysis with reconstruction
L99.7,Percutaneous transluminal peripheral insertion of central catheter
L99.8,Other specified other therapeutic transluminal operations on vein
L99.9,Unspecified other therapeutic transluminal operations on vein
M01.5,Allotransplantation of kidney from cadaver non-heart-beating
M02.3,Bilateral nephrectomy
M02.5,Nephrectomy NEC
M05.1,Open pyeloplasty
M05.2,Open revision of pyeloplasty
M05.3,Nephropexy
M05.8,Other specified open repair of kidney
M05.9,Unspecified open repair of kidney
M06.2,Drainage of kidney NEC
M06.3,Closure of nephrostomy
M06.4,Attention to nephrostomy tube NEC
M06.8,Other specified incision of kidney
M06.9,Unspecified incision of kidney
M08.8,Other specified other open operations on kidney
M08.9,Unspecified other open operations on kidney
M09.3,Endoscopic laser fragmentation of calculus of kidney
M09.8,Other specified therapeutic endoscopic operations on calculus of kidney
M10.9,Unspecified other therapeutic endoscopic operations on kidney
M11.9,Unspecified diagnostic endoscopic examination of kidney
M12.1,Percutaneous pyeloureterodynamics
M12.9,Unspecified percutaneous studies of upper urinary tract
M13.1,Percutaneous needle biopsy of lesion of kidney
M13.2,Percutaneous drainage of kidney
M13.3,Percutaneous aspiration of kidney NEC
M13.4,Percutaneous injection of therapeutic substance into kidney
M13.5,Percutaneous injection of radiocontrast substance into kidney
M13.6,Percutaneous insertion of nephrostomy tube
M13.7,Percutaneous radiofrequency ablation of lesion of kidney
M13.8,Other specified percutaneous puncture of kidney
M13.9,Unspecified percutaneous puncture of kidney
M14.1,Extracorporeal shock wave lithotripsy of calculus of kidney
M14.9,Unspecified extracorporeal fragmentation of calculus of kidney
M15.1,Nephrostomography
M15.9,Unspecified operations on kidney along nephrostomy tube track
M16.2,Maintenance of drainage tube of kidney
M16.4,Percutaneous nephrolithotomy NEC
M16.5,Removal of nephrostomy tube
M17.1,Live kidney donor screening
M17.2,Pre-transplantation of kidney work-up - recipient
M17.3,Pre-transplantation of kidney work-up - live donor
M17.4,Post-transplantation of kidney examination - recipient
M17.5,Post-transplantation of kidney examination - live donor
M18.1,Total ureterectomy
M18.8,Other specified excision of ureter
M19.1,Construction of ileal conduit
M19.2,Creation of urinary diversion to intestine NEC
M19.4,Cutaneous ureterostomy NEC
M19.8,Other specified urinary diversion
M19.9,Unspecified urinary diversion
M20.2,Unilateral replantation of ureter
M21.1,Direct anastomosis of ureter to bladder
M21.9,Unspecified other connection of ureter
M25.5,Open exploration of ureter
M25.8,Other specified other open operations on ureter
M26.2,Nephroscopic fragmentation of calculus of ureter NEC
M26.3,Nephroscopic extraction of calculus of ureter
M26.4,Nephroscopic insertion of tubal prosthesis into ureter
M27.2,Ureteroscopic fragmentation of calculus of ureter NEC
M27.3,Ureteroscopic extraction of calculus of ureter
M27.4,Ureteroscopic insertion of ureteric stent
M27.5,Ureteroscopic removal of ureteric stent
M27.7,Ureteroscopic dilation of ureter
M27.8,Other specified therapeutic ureteroscopic operations on ureter
M27.9,Unspecified therapeutic ureteroscopic operations on ureter
M28.1,Endoscopic laser fragmentation of calculus of ureter NEC
M28.3,Endoscopic extraction of calculus of ureter NEC
M28.9,Unspecified other endoscopic removal of calculus from ureter
M29.2,Endoscopic insertion of tubal prosthesis into ureter NEC
M29.3,Endoscopic removal of tubal prosthesis from ureter
M29.4,Endoscopic dilation of ureter
M29.5,Endoscopic renewal of tubal prosthesis into ureter
M29.8,Other specified other therapeutic endoscopic operations on ureter
M30.1,Endoscopic retrograde pyelography
M30.3,Endoscopic ureteric urine sampling
M30.8,Other specified diagnostic endoscopic examination of ureter
M30.9,Unspecified diagnostic endoscopic examination of ureter
M31.1,Extracorporeal shockwave lithotripsy of calculus of ureter
M32.2,Endoscopic meatotomy of ureteric orifice
M32.4,Endoscopic dilation of ureteric orifice
M32.6,Endoscopic transurethral resection of ureteric orifice
M32.8,Other specified operations on ureteric orifice
M32.9,Unspecified operations on ureteric orifice
M33.1,Percutaneous insertion of metallic stent into ureter
M33.2,Percutaneous insertion of plastic stent into ureter
M33.3,Percutaneous replacement of metallic stent into ureter
M33.5,Percutaneous insertion of ureteric stent into ureter NEC
M33.6,Percutaneous removal of ureteric stent from ureter NEC
M33.8,Other specified percutaneous ureteric stent procedures
M34.4,Simple cystectomy
M34.9,Unspecified total excision of bladder
M35.9,Unspecified partial excision of bladder
M37.1,Cystourethroplasty
M37.4,Closure of exstrophy
M37.5,Repair of fistula of bladder NEC
M37.8,Other specified other repair of bladder
M37.9,Unspecified other repair of bladder
M38.2,Cystostomy and insertion of suprapubic tube into bladder
M38.8,Other specified open drainage of bladder
M38.9,Unspecified open drainage of bladder
M39.8,Other specified other open operations on contents of bladder
M41.2,Creation of vesicovaginal fistula
M41.5,Exploration of bladder
M42.1,Endoscopic resection of lesion of bladder
M42.2,Endoscopic cauterisation of lesion of bladder
M42.3,Endoscopic destruction of lesion of bladder NEC
M42.8,Other specified endoscopic extirpation of lesion of bladder
M42.9,Unspecified endoscopic extirpation of lesion of bladder
M43.1,Endoscopic transection of bladder
M43.2,Endoscopic hydrostatic distention of bladder
M43.3,Endoscopic overdistention of bladder NEC
M43.4,Endoscopic injection of neurolytic substance into nerve of bladder
M44.1,Endoscopic lithopaxy
M44.2,Endoscopic extraction of calculus of bladder NEC
